c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,464,170,0.366,-0.021,0.471,1.0,0.887,0.0,1.0,0.531,0.0,0.0,-0.371,0.0,0.026635770087927762
1,691,172,0.249,-0.159,0.0,0.0,-0.225,0.0,0.0,-0.6,0.0,1.0,0.768,0.0,0.276215284079545
2,509,167,0.328,-0.064,0.019,0.0,-0.216,0.0,0.0,-0.576,0.0,0.0,-0.375,0.0,0.10042369028933339
3,793,0,0.0,-0.458,0.0,0.006,-0.223,0.0,0.945,0.506,0.0,0.0,-0.4,0.0,0.18419356171192625
4,734,208,0.283,-0.12,0.0,0.0,-0.227,0.0,1.0,0.564,0.0,0.0,-0.394,0.0,0.1691450075117932
5,511,164,0.321,-0.072,0.008,1.0,0.897,0.0,0.0,-0.576,0.0,0.753,0.463,0.0,-0.01336634629332024
6,722,722,1.0,0.717,0.0,0.0,-0.226,0.0,0.924,0.474,0.0,0.0,-0.393,0.0,0.0040555710825966864
7,626,345,0.551,0.189,0.0,0.0,-0.222,0.0,0.0,-0.591,0.0,1.0,0.757,0.0,0.13847319310321973
