c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,385,127,0.33,-0.06,0.05,1.0,0.872,0.0,0.0,-0.56,0.0,1.0,0.718,0.0,0.5567370129870128
1,1270,0,0.0,-0.515,0.0,0.0,-0.259,0.0,1.0,0.644,0.0,0.0,-0.45,0.0,1.0
2,517,517,1.0,0.684,0.0,0.0,-0.216,0.0,0.0,-0.577,0.0,1.0,0.739,0.0,1.0
3,800,0,0.0,-0.458,0.0,0.0,-0.231,0.0,0.0,-0.615,0.0,1.0,0.788,0.0,1.0
4,875,875,1.0,0.743,0.0,0.0,-0.235,0.0,1.0,0.583,0.0,0.0,-0.408,0.0,1.0
5,558,170,0.305,-0.091,0.0,1.0,0.906,0.0,0.841,0.363,0.0,0.0,-0.379,0.0,0.3639887827216654
6,386,0,0.0,-0.418,0.0,0.0,-0.21,0.0,0.0,-0.56,0.0,0.0,-0.365,0.0,1.0
7,259,259,1.0,0.647,0.0,0.143,-0.054,0.031,0.0,-0.546,0.0,0.0,-0.355,0.0,0.7764804206165534
