c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,676,46,0.068,-0.367,0.0,0.0,-0.224,0.0,0.491,-0.031,0.293,0.0,-0.389,0.0,0.1652119975604217
1,813,0,0.0,-0.46,0.0,0.0,-0.231,0.0,0.921,0.481,0.0,0.0,-0.402,0.0,0.2633498766605657
2,554,183,0.33,-0.062,0.018,0.002,-0.216,0.0,0.0,-0.581,0.0,0.982,0.724,0.0,0.26664701870137525
3,924,924,1.0,0.752,0.0,0.0,-0.238,0.0,0.824,0.374,0.0,0.0,-0.413,0.0,0.03253971442278578
4,497,157,0.316,-0.077,0.004,1.0,0.894,0.0,0.0,-0.574,0.0,0.763,0.472,0.0,-0.06013530530281014
5,750,337,0.449,0.075,0.005,0.0,-0.228,0.0,0.0,-0.608,0.0,1.0,0.779,0.0,0.15955274961653357
6,463,172,0.371,-0.016,0.599,1.0,0.887,0.0,0.987,0.517,0.0,0.0,-0.371,0.0,0.007997679133926138
7,373,129,0.346,-0.043,0.176,0.051,-0.155,0.0,0.845,0.353,0.0,0.078,-0.28,0.0,0.2948951114350835
