c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,886,0,0.0,-0.468,0.0,0.175,-0.023,0.139,0.659,0.172,0.0,0.255,-0.099,0.0,0.20957609409752437
1,775,775,1.0,0.726,0.0,0.177,-0.02,0.218,0.503,-0.017,0.54,0.329,-0.009,0.674,0.3043896456886636
2,1136,0,0.0,-0.498,0.0,0.251,0.073,0.0,0.483,-0.044,0.061,0.322,-0.019,0.32,0.30284791168699415
3,792,0,0.0,-0.457,0.0,0.229,0.041,0.026,0.284,-0.277,0.0,0.515,0.211,0.0,0.27591644743650856
4,525,525,1.0,0.686,0.0,0.177,-0.019,0.334,0.682,0.183,0.0,0.23,-0.119,0.0,0.24840631079807146
5,246,246,1.0,0.646,0.0,0.106,-0.093,0.0,0.675,0.165,0.003,0.228,-0.115,0.001,0.10625611801448719
6,399,399,1.0,0.667,0.0,0.195,0.002,0.946,0.321,-0.214,0.0,0.531,0.211,0.0,0.19979365618845496
7,291,3,0.01,-0.398,0.0,0.086,-0.115,0.0,0.735,0.231,0.0,0.199,-0.146,0.0,0.16346188909989404
