c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,957,379,0.396,0.013,0.573,0.0,-0.239,0.0,0.945,0.527,0.0,0.0,-0.416,0.0,0.35832930455023076
1,583,213,0.365,-0.023,0.388,0.002,-0.217,0.0,0.0,-0.585,0.0,0.981,0.728,0.0,0.32791037627730213
2,722,302,0.418,0.038,0.142,0.0,-0.226,0.0,0.0,-0.604,0.0,1.0,0.774,0.0,0.18342526112713328
3,500,160,0.32,-0.073,0.007,1.0,0.895,0.0,0.0,-0.575,0.0,0.758,0.467,0.0,-0.06771613469482039
4,398,147,0.369,-0.018,0.576,0.048,-0.159,0.0,0.849,0.36,0.0,0.073,-0.287,0.0,0.27688071896878236
5,915,390,0.426,0.049,0.036,0.0,-0.237,0.0,1.0,0.589,0.0,0.0,-0.412,0.0,0.1723221638431953
6,460,169,0.367,-0.02,0.497,1.0,0.887,0.0,0.993,0.524,0.0,0.0,-0.371,0.0,0.014567054463559317
7,515,188,0.365,-0.023,0.414,0.0,-0.216,0.0,0.0,-0.576,0.0,0.0,-0.375,0.0,0.08112487520428993
