c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,392,123,0.314,-0.078,0.01,1.0,0.874,0.0,0.0,-0.561,0.0,0.832,0.536,0.0,-0.006081771539554958
1,803,295,0.367,-0.022,0.351,0.031,-0.194,0.0,0.649,0.156,0.0,0.0,-0.401,0.0,0.13554666531253096
2,796,283,0.356,-0.036,0.123,0.023,-0.204,0.0,0.894,0.447,0.0,0.0,-0.4,0.0,0.14252576920349064
3,455,164,0.36,-0.028,0.348,1.0,0.886,0.0,0.879,0.397,0.0,0.0,-0.37,0.0,-0.024427704425617525
4,579,258,0.446,0.068,0.021,0.092,-0.116,0.0,0.0,-0.585,0.0,0.998,0.747,0.0,0.022421002860289127
5,743,259,0.349,-0.044,0.066,0.0,-0.228,0.0,0.0,-0.607,0.0,1.0,0.777,0.0,0.10131971946649468
6,532,214,0.402,0.018,0.525,0.07,-0.139,0.0,0.814,0.331,0.0,0.098,-0.267,0.0,0.21507830807309639
7,750,352,0.469,0.098,0.0,0.0,-0.228,0.0,0.731,0.25,0.0,0.004,-0.391,0.0,0.20630127931166414
