c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,565,257,0.455,0.078,0.01,0.007,-0.211,0.0,0.94,0.475,0.0,0.0,-0.379,0.0,0.2451554201903799
1,385,127,0.33,-0.06,0.05,1.0,0.872,0.0,0.0,-0.56,0.0,1.0,0.718,0.0,0.02358188722645991
2,745,237,0.318,-0.079,0.001,0.0,-0.228,0.0,0.0,-0.607,0.0,1.0,0.778,0.0,0.2857384528516177
3,572,280,0.49,0.117,0.0,0.0,-0.219,0.0,0.0,-0.584,0.0,1.0,0.748,0.0,0.12561714656753578
4,856,303,0.354,-0.038,0.09,0.02,-0.21,0.0,0.947,0.518,0.0,0.0,-0.406,0.0,0.28355905401711945
5,530,193,0.364,-0.024,0.386,0.0,-0.217,0.0,0.0,-0.578,0.0,0.0,-0.377,0.0,0.09276815225548365
6,574,201,0.35,-0.04,0.129,1.0,0.909,0.0,0.782,0.299,0.0,0.0,-0.38,0.0,0.0015227051153496138
7,823,350,0.425,0.047,0.055,0.0,-0.232,0.0,1.0,0.576,0.0,0.0,-0.403,0.0,0.20784566426416898
