c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,640,640,1.0,0.703,0.0,0.212,0.021,0.277,0.536,0.021,0.498,0.339,0.002,0.925,0.17141650726497012
1,646,646,1.0,0.704,0.0,0.138,-0.065,0.0,0.58,0.072,0.024,0.297,-0.046,0.05,0.13557341108243046
2,1604,0,0.0,-0.565,0.0,0.247,0.077,0.0,0.398,-0.176,0.0,0.404,0.098,0.0,0.2563530790746777
3,910,0,0.0,-0.471,0.0,0.134,-0.073,0.0,0.643,0.153,0.0,0.265,-0.088,0.0,0.21176061743634977
4,662,662,1.0,0.707,0.0,0.165,-0.034,0.05,0.494,-0.027,0.355,0.355,0.021,0.404,0.17988212301135656
5,588,0,0.0,-0.437,0.0,0.218,0.027,0.189,0.588,0.08,0.017,0.287,-0.056,0.019,0.14131046761984759
