c,count,n_error,error_rate,diff_vs_rest,diff_p,sex_Female_prop,sex_Female_diff,sex_Female_p,race_African-American_prop,race_African-American_diff,race_African-American_p,race_Caucasian_prop,race_Caucasian_diff,race_Caucasian_p,silhouette
0,469,170,0.362,-0.026,0.381,1.0,0.888,0.0,1.0,0.532,0.0,0.0,-0.372,0.0,1.0
1,2145,875,0.408,0.039,0.03,0.0,-0.337,0.0,1.0,0.839,0.0,0.0,-0.586,0.0,1.0
2,1317,517,0.393,0.009,0.645,0.0,-0.263,0.0,0.0,-0.7,0.0,1.0,0.897,0.0,1.0
3,385,127,0.33,-0.06,0.05,1.0,0.872,0.0,0.0,-0.56,0.0,1.0,0.718,0.0,1.0
4,608,222,0.365,-0.023,0.372,0.0,-0.221,0.0,0.0,-0.588,0.0,0.0,-0.383,0.0,1.0
5,126,37,0.294,-0.094,0.059,1.0,0.827,0.0,0.0,-0.531,0.0,0.0,-0.346,0.0,1.0
